рынок,стратегия,CAGR,просадка,Sharpe,IS_CAGR,OOS_CAGR,обыграл_BH
Bitcoin,breakout20,0.250818239319071,-0.2984170571875704,1.0672199969366096,0.3866146382748805,0.12821045933649367,False
Ethereum,buyhold,0.15366867265673534,-0.9396254038538313,0.5590429998970663,0.3872324338338018,-0.04068231862728766,False
Ethereum,trend,0.16989422795682296,-0.7729924753815464,0.5795452921195656,0.28645184463073803,0.06383344384515399,True
Ethereum,trend_ls,-0.09157018085052526,-0.9208710209570239,0.22259734435829148,-0.037882887625639516,-0.14229273052405988,False
Ethereum,sma_20_50,0.2449560931778505,-0.6631171493404993,0.6912726699857403,0.5298775059637624,0.012966172378505725,True
Ethereum,sma_10_30,0.37923858934964705,-0.5373604416772635,0.8947585044720271,0.7243245207680598,0.10305866189003532,True
Ethereum,candles,0.11854784287166087,-0.6121152816059017,0.4713576311850523,0.1768933706995326,0.06306074245447268,False
Ethereum,rsi_meanrev,-0.05204245284548359,-0.8968316464430552,0.10764780066508747,-0.0873762602063839,-0.015317037403723255,False
Ethereum,macd,0.19305517627041757,-0.7178784184285167,0.6058675600846105,0.36980998143597366,0.03901753603813951,True
Ethereum,breakout20,0.2169117288665332,-0.34732341464092675,0.8589342266372698,0.46553412723718735,0.010348683033092776,True
S&P500,buyhold,0.13813939699026623,-0.337172528469891,0.8225144203870443,0.11287653254546126,0.16401182946024284,False
S&P500,trend,0.0862006630767389,-0.18524370479389307,0.8191376068269712,0.045417642504483435,0.12863433542940994,False
S&P500,trend_ls,0.029402762370859037,-0.4024148900283301,0.2527108064841692,-0.04665557361480399,0.11164692324521219,False
S&P500,sma_20_50,0.08243566506783462,-0.2924258247421674,0.7640325544374917,0.09199006088286654,0.07295184195006077,False
S&P500,sma_10_30,0.07556658419449858,-0.18081323641690505,0.7256007693697484,0.06024053289655806,0.09113580678897804,False
S&P500,candles,-0.007599886277102064,-0.30298609167978596,-0.008161962315399549,-0.014576326403445306,-0.0004760691155016872,False
S&P500,rsi_meanrev,0.07007889413793933,-0.28342746171796596,0.541527443861135,0.056518833039584715,0.08383208516113005,False
S&P500,macd,0.0608348921780828,-0.15642848194937675,0.6447539367157177,0.06560146216696205,0.05608310414946183,False
S&P500,breakout20,0.004577652548167999,-0.09922134963021323,0.11785776276568329,6.159033843111672e-05,0.009209491306051643,False
Nasdaq,buyhold,0.1929634819522017,-0.35118721114328855,0.9140907690263275,0.20048954965217103,0.18547429895670442,False
Nasdaq,trend,0.1386895545514022,-0.25831418535806194,0.9201411120354087,0.09363590235688801,0.1856653572535727,False
